ALPH	А	A	#
ALPH	Б	V	#
ALPH	В	B	#
ALPH	Г	F	#
ALPH	Д	D	#
ALPH	Е	E	#
ALPH	Ё	E	#
ALPH	Ж	G	#
ALPH	З	3	# цифра 3
ALPH	И	U	#
ALPH	Й	U	#
ALPH	К	K	#
ALPH	Л	L	#
ALPH	М	M	#
ALPH	Н	H	#
ALPH	О	0	#
ALPH	П	N	#
ALPH	Р	P	#
ALPH	С	C	#
ALPH	Т	T	#
ALPH	У	Y	#
ALPH	Ф	X	# не нашёл (временно X)
ALPH	Х	X	#
ALPH	Ц	S	#
ALPH	Ч	4	#
ALPH	Ш	W	#
ALPH	Щ	W	#
ALPH	Ъ	J	# не нашёл (временно мягкий знак J)
ALPH	Ы	Q	#
ALPH	Ь	J	#
ALPH	Э	3	# цифра 3
ALPH	Ю	O	#
ALPH	Я	R	#
ALPH	а	A	#
ALPH	б	V	#
ALPH	в	B	#
ALPH	г	F	#
ALPH	д	D	#
ALPH	е	E	#
ALPH	ё	E	#
ALPH	ж	G	#
ALPH	з	3	# цифра 3
ALPH	и	U	#
ALPH	й	U	#
ALPH	к	K	#
ALPH	л	L	#
ALPH	м	M	#
ALPH	н	H	#
ALPH	о	0	#
ALPH	п	N	#
ALPH	р	P	#
ALPH	с	C	#
ALPH	т	T	#
ALPH	у	Y	#
ALPH	ф	X	# не нашёл (временно X)
ALPH	х	X	#
ALPH	ц	S	#
ALPH	ч	4	#
ALPH	ш	W	#
ALPH	щ	W	#
ALPH	ъ	J	# не нашёл (временно мягкий знак J)
ALPH	ы	Q	#
ALPH	ь	J	#
ALPH	э	3	# цифра 3
ALPH	ю	O	#
ALPH	я	R	#
01FF	028D		2	order_028D		#
01FF	028E		2	order_028E		#
01FF	028F		2	order_028F		#
01FF	0290		2	order_0290		#
01FF	0291		2	order_0291		#
01FF	0292		2	order_0292		#
01FF	0293		2	order_0293		#
01FF	0294		2	order_0294		#
01FF	0295		2	order_0295		#
01FF	0296		2	order_0296		#
01FF	0297		2	order_0297		#
01FF	0298		2	order_0298		#
01FF	0299		2	order_0299		#
01FF	029A		2	order_029A		#
01FF	029B		2	order_029B		#
01FF	029C		2	order_029C		#
01FF	029D		2	order_029D		#
01FF	029E		2	order_029E		#
01FF	029F		2	order_029F		#
01FF	02A0		2	order_02A0		#
01FF	02A1		2	order_02A1		#
01FF	02A2		2	order_02A2		#
01FF	02A3		2	order_02A3		#
01FF	02A4		2	order_02A4		#
01FF	02A5		2	order_02A5		#
01FF	02A6		2	order_02A6		#
01FF	02A7		2	order_02A7		#
01FF	02A8		2	order_02A8		#
01FF	02A9		2	order_02A9		#
01FF	02AA		2	order_02AA		#
01FF	02AB		2	order_02AB		#
01FF	02AC		2	order_02AC		#
01FF	02AD		2	order_02AD		#
01FF	02AE		2	order_02AE		#
01FF	02AF		2	order_02AF		#
01FF	02B0		2	order_02B0		#
01FF	02B1		2	order_02B1		#
01FF	02B2		2	order_02B2		#
01FF	02B3		2	order_02B3		#
01FF	02B4		2	order_02B4		#
01FF	02B5		2	order_02B5		#
01FF	02B6		2	order_02B6		#
01FF	02B7		2	order_02B7		#
01FF	02B8		2	order_02B8		#
01FF	02B9		2	order_02B9		#
01FF	02BA		2	order_02BA		#
01FF	02BB		2	order_02BB		#
01FF	02BC		2	order_02BC		#
01FF	02BD		2	order_02BD		#
01FF	02BE		2	order_02BE		#
01FF	02BF		2	order_02BF		#
01FF	02C0		2	order_02C0		#
01FF	02C1		2	order_02C1		#
01FF	02C2		2	order_02C2		#
01FF	02C3		2	order_02C3		#
01FF	02C4		2	order_02C4		#
01FF	02C5		2	order_02C5		#
01FF	02C6		2	order_02C6		#
01FF	02C7		2	order_02C7		#
01FF	02C8		2	order_02C8		#
01FF	02C9		2	order_02C9		#
01FF	02CA		2	order_02CA		#
01FF	02CB		2	order_02CB		#
01FF	02CC		2	order_02CC		#
01FF	02CD		2	order_02CD		#
01FF	02CE		2	order_02CE		#
01FF	02CF		2	order_02CF		#
01FF	02D0		2	order_02D0		#
01FF	02D1		2	order_02D1		#
01FF	02D2		2	order_02D2		#
01FF	02D3		2	order_02D3		#
01FF	02D4		2	order_02D4		#
01FF	02D5		2	order_02D5		#
01FF	02D6		2	order_02D6		#
01FF	02D7		2	order_02D7		#
01FF	02D8		2	order_02D8		#
01FF	02D9		2	order_02D9		#
01FF	02DA		2	order_02DA		#
01FF	02DB		2	order_02DB		#
01FF	02DC		2	order_02DC		#
01FF	02DD		2	order_02DD		#
01FF	02DE		2	order_02DE		#
01FF	02DF		2	order_02DF		#
01FF	02E0		2	order_02E0		#
01FF	02E1		2	order_02E1		#
01FF	02E2		2	order_02E2		#
01FF	02E3		2	order_02E3		#
01FF	02E4		2	order_02E4		#
01FF	02E5		2	order_02E5		#
01FF	02E6		2	order_02E6		#
01FF	02E7		2	order_02E7		#
01FF	02E8		2	order_02E8		#
01FF	02E9		2	order_02E9		#
01FF	02EA		2	order_02EA		#
01FF	02EB		2	order_02EB		#
01FF	02EC		2	order_02EC		#
01FF	02ED		2	order_02ED		#
01FF	02EE		2	order_02EE		#
01FF	02EF		2	order_02EF		#
01FF	02F0		2	order_02F0		#
01FF	02F1		2	order_02F1		#
01FF	02F2		2	order_02F2		#
01FF	02F3		2	order_02F3		#
01FF	02F4		2	order_02F4		#
01FF	02F5		2	order_02F5		#
01FF	02F6		2	order_02F6		#
01FF	02F7		2	order_02F7		#
01FF	02F8		2	order_02F8		#
01FF	02F9		2	order_02F9		#
01FF	02FA		2	order_02FA		#
01FF	02FB		2	order_02FB		#
01FF	02FC		2	order_02FC		#
01FF	02FD		2	order_02FD		#
01FF	02FE		2	order_02FE		#
01FF	0301		2	order_0301		#
01FF	0302		2	order_0302		#
01FF	0303		2	order_0303		#
01FF	0304		2	order_0304		#
01FF	0305		2	order_0305		#
01FF	0306		2	order_0306		#
01FF	0307		2	order_0307		#
01FF	0308		2	order_0308		#
01FF	0309		2	order_0309		#
01FF	030A		2	order_030A		#
01FF	030B		2	order_030B		#
01FF	030C		2	order_030C		#
01FF	030D		2	order_030D		#
01FF	030E		2	order_030E		#
01FF	030F		2	order_030F		#
01FF	0310		2	order_0310		#
01FF	0311		2	order_0311		#
01FF	0312		2	order_0312		#
01FF	0313		2	order_0313		#
01FF	0314		2	order_0314		#
01FF	0315		2	order_0315		#
01FF	0316		2	order_0316		#
01FF	0317		2	order_0317		#
01FF	0318		2	order_0318		#
01FF	0319		2	order_0319		#
01FF	031A		2	order_031A		#
01FF	031B		2	order_031B		#
01FF	031C		2	order_031C		#
01FF	031D		2	order_031D		#
01FF	031E		2	order_031E		#
01FF	031F		2	order_031F		#
01FF	0320		2	order_0320		#
01FF	0321		2	order_0321		#
01FF	0322		2	order_0322		#
01FF	0323		2	order_0323		#
01FF	0324		2	order_0324		#
01FF	0325		2	order_0325		#
01FF	0326		2	order_0326		#
01FF	0327		2	order_0327		#
01FF	0328		2	order_0328		#
01FF	0329		2	order_0329		#
01FF	032A		2	order_032A		#
01FF	032B		2	order_032B		#
01FF	032C		2	order_032C		#
01FF	032D		2	order_032D		#
01FF	032E		2	order_032E		#
01FF	032F		2	order_032F		#
01FF	0330		2	order_0330		#
01FF	0331		2	order_0331		#
01FF	0332		2	order_0332		#
01FF	0333		2	order_0333		#
01FF	0334		2	order_0334		#
01FF	0335		2	order_0335		#
01FF	0336		2	order_0336		#
01FF	0337		2	order_0337		#
01FF	0338		2	order_0338		#
01FF	0339		2	order_0339		#
01FF	033A		2	order_033A		#
01FF	033B		2	order_033B		#
01FF	033C		2	order_033C		#
01FF	033D		2	order_033D		#
01FF	033E		2	order_033E		#
01FF	033F		2	order_033F		#
01FF	0340		2	order_0340		#
01FF	0341		2	order_0341		#
01FF	0342		2	order_0342		#
01FF	0343		2	order_0343		#
01FF	0344		2	order_0344		#
01FF	0345		2	order_0345		#
01FF	0346		2	order_0346		#
01FF	0347		2	order_0347		#
01FF	0348		2	order_0348		#
01FF	0349		2	order_0349		#
01FF	034A		2	order_034A		#
01FF	034B		2	order_034B		#
01FF	034C		2	order_034C		#
01FF	034D		2	order_034D		#
01FF	034E		2	order_034E		#
01FF	034F		2	order_034F		#
01FF	0350		2	order_0350		#
01FF	0351		2	order_0351		#
01FF	0352		2	order_0352		#
01FF	0353		2	order_0353		#
01FF	0354		2	order_0354		#
01FF	0355		2	order_0355		#
01FF	0356		2	order_0356		#
01FF	0357		2	order_0357		#
01FF	0358		2	order_0358		#
01FF	0359		2	order_0359		#
01FF	035A		2	order_035A		#
01FF	035B		2	order_035B		#
01FF	035C		2	order_035C		#
01FF	035D		2	order_035D		#
01FF	035E		2	order_035E		#
01FF	035F		2	order_035F		#
01FF	0360		2	order_0360		#
01FF	0361		2	order_0361		#
01FF	0362		2	order_0362		#
01FF	0363		2	order_0363		#
01FF	0364		2	order_0364		#
01FF	0365		2	order_0365		#
01FF	0366		2	order_0366		#
01FF	0367		2	order_0367		#
01FF	0368		2	order_0368		#
01FF	0369		2	order_0369		#
01FF	036A		2	order_036A		#
01FF	036B		2	order_036B		#
01FF	036C		2	order_036C		#
01FF	036D		2	order_036D		#
01FF	036E		2	order_036E		#
01FF	036F		2	order_036F		#
01FF	0370		2	order_0370		#
01FF	0371		2	order_0371		#
01FF	0372		2	order_0372		#
01FF	0373		2	order_0373		#
01FF	0374		2	order_0374		#
01FF	0375		2	order_0375		#
01FF	0376		2	order_0376		#
01FF	0377		2	order_0377		#
01FF	0378		2	order_0378		#
01FF	0379		2	order_0379		#
01FF	037A		2	order_037A		#
01FF	037B		2	order_037B		#
01FF	037C		2	order_037C		#
01FF	037D		2	order_037D		#
01FF	037E		2	order_037E		#
01FF	037F		2	order_037F		#
01FF	0380		2	order_0380		#
01FF	0381		2	order_0381		#
01FF	0382		2	order_0382		#
01FF	0383		2	order_0383		#
01FF	0384		2	order_0384		#
01FF	0385		2	order_0385		#
01FF	0386		2	order_0386		#
01FF	0387		2	order_0387		#
01FF	0388		2	order_0388		#
01FF	0389		2	order_0389		#
01FF	038A		2	order_038A		#
01FF	038B		2	order_038B		#
01FF	038C		2	order_038C		#
01FF	038D		2	order_038D		#
01FF	038E		2	order_038E		#
01FF	038F		2	order_038F		#
01FF	0390		2	order_0390		#
01FF	0391		2	order_0391		#
01FF	0392		2	order_0392		#
01FF	0393		2	order_0393		#
01FF	0394		2	order_0394		#
01FF	0395		2	order_0395		#
01FF	0396		2	order_0396		#
01FF	0397		2	order_0397		#
01FF	0398		2	order_0398		#
01FF	0399		2	order_0399		#
01FF	039A		2	order_039A		#
01FF	039B		2	order_039B		#
01FF	039C		2	order_039C		#
01FF	039D		2	order_039D		#
01FF	039E		2	order_039E		#
01FF	039F		2	order_039F		#
01FF	03A0		2	order_03A0		#
01FF	03A1		2	order_03A1		#
01FF	03A2		2	order_03A2		#
01FF	03A3		2	order_03A3		#
01FF	03A4		2	order_03A4		#
01FF	03A5		2	order_03A5		#
01FF	03A6		2	order_03A6		#
01FF	03A7		2	order_03A7		#
01FF	03A8		2	order_03A8		#
01FF	03A9		2	order_03A9		#
01FF	03AA		2	order_03AA		#
01FF	03AB		2	order_03AB		#
01FF	03AC		2	order_03AC		#
01FF	03AD		2	order_03AD		#
01FF	03AE		2	order_03AE		#
01FF	03AF		2	order_03AF		#
01FF	03B0		2	order_03B0		#
01FF	03B1		2	order_03B1		#
01FF	03B2		2	order_03B2		#
01FF	03B3		2	order_03B3		#
01FF	03B4		2	order_03B4		#
01FF	03B5		2	order_03B5		#
01FF	03B6		2	order_03B6		#
01FF	03B7		2	order_03B7		#
01FF	03B8		2	order_03B8		#
01FF	03B9		2	order_03B9		#
01FF	03BA		2	order_03BA		#
01FF	03BB		2	order_03BB		#
01FF	03BC		2	order_03BC		#
01FF	03BD		2	order_03BD		#
01FF	03BE		2	order_03BE		#
01FF	03BF		2	order_03BF		#
01FF	03C0		2	order_03C0		#
01FF	03C1		2	order_03C1		#
01FF	03C2		2	order_03C2		#
01FF	03C3		2	order_03C3		#
01FF	03C4		2	order_03C4		#
01FF	03C5		2	order_03C5		#
01FF	03C6		2	order_03C6		#
01FF	03C7		2	order_03C7		#
01FF	03C8		2	order_03C8		#
01FF	03C9		2	order_03C9		#
01FF	03CA		2	order_03CA		#
01FF	03CB		2	order_03CB		#
01FF	03CC		2	order_03CC		#
01FF	03CD		2	order_03CD		#
01FF	03CE		2	order_03CE		#
01FF	03CF		2	order_03CF		#
01FF	03D0		2	order_03D0		#
01FF	03D1		2	order_03D1		#
01FF	03D2		2	order_03D2		#
01FF	03D3		2	order_03D3		#
01FF	03D4		2	order_03D4		#
01FF	03D5		2	order_03D5		#
01FF	03D6		2	order_03D6		#
01FF	03D7		2	order_03D7		#
01FF	03D8		2	order_03D8		#
01FF	03D9		2	order_03D9		#
01FF	03DA		2	order_03DA		#
01FF	03DB		2	order_03DB		#
01FF	03DC		2	order_03DC		#
01FF	03DD		2	order_03DD		#
01FF	03DE		2	order_03DE		#
01FF	03DF		2	order_03DF		#
01FF	03E0		2	order_03E0		#
01FF	03E1		2	order_03E1		#
01FF	03E2		2	order_03E2		#
01FF	03E3		2	order_03E3		#
01FF	03E4		2	order_03E4		#
01FF	03E5		2	order_03E5		#
01FF	03E6		2	order_03E6		#
01FF	03E7		2	order_03E7		#
01FF	03E8		2	order_03E8		#
01FF	03E9		2	order_03E9		#
01FF	03EA		2	order_03EA		#
01FF	03EB		2	order_03EB		#
01FF	03EC		2	order_03EC		#
01FF	03ED		2	order_03ED		#
01FF	03EE		2	order_03EE		#
01FF	03EF		2	order_03EF		#
01FF	03F0		2	order_03F0		#
01FF	03F1		2	order_03F1		#
01FF	03F2		2	order_03F2		#
01FF	03F3		2	order_03F3		#
01FF	03F4		2	order_03F4		#
01FF	03F5		2	order_03F5		#
01FF	03F6		2	order_03F6		#
01FF	03F7		2	order_03F7		#
01FF	03F8		2	order_03F8		#
01FF	03F9		2	order_03F9		#
01FF	03FA		2	order_03FA		#
01FF	03FB		2	order_03FB		#
01FF	03FC		2	order_03FC		#
01FF	03FD		2	order_03FD		#
01FF	03FE		2	order_03FE		#
